Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
Sample_BkSQ.54_004.fq,0.06223943726452448,0,0.03475091077094499,0,0.16784442914591952,0,0,0,0,0,0.0959294332705285,0,0,0.037668051556617135,0.013097851958352294,0,0.009510762896718835,0.02189819473148951,0,0.04154580463381293,0,0.5155151237710918,0.01,0.17778934350489606,1.1311627972470921
Sample_BkSQ.55_005.fq,0,0,0,0,0,0.18463473122094448,0.018087138920494062,0,0,0,0,0,0.15626465187833802,0,0.038283694566303005,0,0,0.017228397405655058,0,0.08457693692838296,0.0440733051839223,0.4568511438959601,0,0.39347800261890736,0.980885266060705
Sample_BkSQ.58_012.fq,0.013003248258793005,0,0.009992079792269336,0,0.015434188228754397,0.14592077914805596,0.11558723298278867,0,0,0,0.0070241048676578256,0.032572728111269586,0.2751513128781138,0.024912563440349263,0.14923099895296357,0,0.0026112662946145403,0.02446664225715642,0.05337410183393829,0,0.0507942389686877,0.0799245139845877,0,0.3856596033301691,0.9274403408554003
Sample_BkSQ.59_002.fq,0,0,0,0,0.021025360999423728,0.06282805155726537,0.001,0,0,0,0.011898575617854016,0,0,0.28223976351752766,0,0.024782083375861522,0,0.06102901461978366,0,0.030868543589919757,0.21588147088559279,0.28846967092515946,0,0.4517723514592572,0.912766039799488
Sample_BkSQ.6_012.fq,0.005270359491681027,0,0,0,0.004443516535961073,0.14135037663149297,0.005731426703893933,0,0,0,0.0715120147247538,0,0,0.4461509185860366,0,0.05385633653747421,0,0.04221375265516392,0,0.028853432593328794,0.0023607690742889504,0.19825709646592468,0,0.1921843729471683,1.0728103631970518
Sample_BkSQ.65_005.fq,0.007888451751515506,0,0,0.02956564237197375,0,0.14446835591548315,0.03271416421430948,0.001777936055778139,0,0,0.053089888509006256,0,0.0011370693777833778,0.2760482672021261,0.0022359109548700487,0.04349251067186223,0.015737504020205163,0.0031376773180924666,0,0.03943623727349561,0.051373268998783195,0.2978971153647155,0,0.22657151881534204,1.0437891771135628
Sample_BkSQ.67_012.fq,0.013713185483294463,0,0,0.022551614318092005,0,0.10406389102670958,0,0.01308808171241934,0,0,0,0.015804004590284932,0.024172699940622048,0.41909046325954047,0.05916526678332436,0.06777624075342742,0.006837249417087466,0,0,0.09230429367092255,0.040003713517940444,0.12142929552633495,0,0.31273442849619043,0.9906654406085739
Sample_BkSQ.68_002.fq,0,0,0,0,0.014444577026232258,0.19925484915979208,0.009796598421434358,0.00855749113918816,0,0,0.04084713305270952,0.028490226585082955,0,0.22834953474496972,0.006603715911807729,0.1818245533398009,0.01828153520961182,0.0012182883720622143,0.044074209032233504,0,0.05622899087718682,0.16202829712788797,0,0.21532304464796592,1.0182865004524155
Sample_BkSQ.69_004.fq,0,0,0,0,0.0117511700884058,0.005110941851289497,0,0,0,0,0.0027636023464808297,0,0.10397247478428659,0.32316747780582994,0,0,0,0.1618423585913117,0,0.11977590646726732,0.05531238250521086,0.21630368555991755,0,0.526975208019541,0.8563144835913047
Sample_BkSQ.7_002.fq,0.006172290443050541,0,0,0.009057158280825761,0,0.10888343824188627,0,0,0,0,0.021263805831761507,0,0.14201478120949307,0.6526608907285687,0,0.0031798854339748035,0.013033930396129663,0.007060368659521058,0,0.0008,0.013928770280836385,0.021897830771101134,0,0.21717119787841468,1.0941380693446061
Sample_BkSQ.70_012.fq,0.00953353866537997,0,0.008973507577105673,0.005171979484243743,0,0.20036773432782642,0.02271984182389116,0,0,0,0.012379248485286645,0.010971103771611226,0.01719667851341421,0.20004501267556357,0,0,0,0.1386936060594405,0.01364457686898316,0,0.045345533046733125,0.3149576387005205,0,0.4438465500513421,0.9072465021161387
